Rank,Change,Name,League Number,League,Steam Name,Xbox Name,PSN Name,Cashouts
256,-32,Rippie#0112,19,Diamond 2,Rippie[TTV],,,0
257,7,EkaZo#1602,19,Diamond 2,Goo Lord EkaZo,,,0
258,19,PlayfulSword#0498,19,Diamond 2,,,CYL_Kayzen,0
259,-87,Dyzho#3406,19,Diamond 2,,Dyzho,ed--mundo03,0
260,225,grey#1554,19,Diamond 2,5150grey,,,0
261,27,SheDidntLook13#2874,19,Diamond 2,,nash T noob,,0
262,55,SuitedGamer#6230,19,Diamond 2,Mr.P4NC4KES,,,0
263,-17,GloriousSlam#3800,19,Diamond 2,Israel's massacre of Palestine,,,0
264,443,ReItsTooEaSyy#2978,19,Diamond 2,Re: ItsTooEaSyy,,,0
265,32,XGP#2621,19,Diamond 2,抖音s小钢炮s,WeptMirror91747,,0
266,38,StellarCatwalk#1104,19,Diamond 2,,JuoIt,,0
267,36,CrystalShotgun#2557,19,Diamond 2,Rugs,,,0
268,353,Tweets#8732,19,Diamond 2,@ItsTweets,,,0
269,140,UnusualExec#0494,19,Diamond 2,,Mindless#3117,,0
270,143,SuitedWrangler#8656,19,Diamond 2,tramadol,,,0
271,-63,SonarRig#3222,19,Diamond 2,IZZAMASTER ttv,,,0
272,-22,dev#0090,19,Diamond 2,forklift certified,,,0
273,-22,TTV-Leprxzy#0606,19,Diamond 2,,Leprxzy,,0
274,-21,FranzBoooooooott#3713,19,Diamond 2,FranzBoooooooott,,,0
275,-16,Rxlx#6150,19,Diamond 2,Nerf Invis Buff HP Regen,,,0
276,89,SonarHabit#1949,19,Diamond 2,,,Skull_-I-,0
277,-20,DustyDagger#4454,19,Diamond 2,李若涵,,,0
278,12,KrazDzn#6532,19,Diamond 2,@KrazDzn,,,0
279,240,ProntoSlam#5067,19,Diamond 2,Bright 369,,,0
280,-60,y4rk1y#5000,19,Diamond 2,y4rk1y,,,0
281,-76,FitShape#0034,19,Diamond 2,You_Go_VEGAN,,,0
282,1012,DirectRinger#7577,19,Diamond 2,Twitch_ArCaNaRcAnA,,,0
283,95,Broskii#1788,19,Diamond 2,,,zIBroskii,0
284,-23,HonoredFace#4113,19,Diamond 2,DiNoSaUrR,,,0
285,-23,Viking#4653,19,Diamond 2,Spartan,imthebluebubble,blakepolewczyk,0
286,-23,DynamicRelic#1024,19,Diamond 2,prestontodde ttv,,,0
287,126,QuirkyExec#4637,19,Diamond 2,final boss,,,0
288,-21,ChargingBlade#4010,19,Diamond 2,,,Isawi727,0
289,160,Moosh#1155,19,Diamond 2,Moosh,,,0
290,-125,ImposingSweep#0392,19,Diamond 2,Decryptics,,,0
291,100,FlawlessFashion#7294,19,Diamond 2,No0ne,,,0
292,40,gg#0271,19,Diamond 2,Mahmud Sulayman al-Maghribi,,,0
293,-21,Interwines#9980,19,Diamond 2,Interwines,,,0
294,-26,BattlePerson#6824,19,Diamond 2,Savince,,,0
295,-22,DazzlingHabit#3978,19,Diamond 2,上钻50陪6m1小时VX-YZGT226,,,0
296,15,ogg#5922,19,Diamond 2,Kocho,,,0
297,24,CrispyBadge9#2480,19,Diamond 2,quintal.elvert,CrispyBadge9#577,crispyyi,0
298,-87,Rish#0410,19,Diamond 2,,,Rishx-,0
299,-23,SkulledShape#4651,19,Diamond 2,SUNYIFANG,,,0
300,71,HastyFace#3405,19,Diamond 2,老子不叫灰太狼,OozyBridge53489,,0
301,-3,DaringChannel#0947,19,Diamond 2,灰太狼King,,,0
302,-42,HastyFace#2564,19,Diamond 2,kakibeans,,,0
303,-20,SurrealHero#1786,19,Diamond 2,Hypnos,,,0
304,108,AwesomeKatana#8214,19,Diamond 2,number,,,0
305,-84,NatFer#7454,19,Diamond 2,kick.com/NatFer,,,0
306,95,PRM_Lotus#6328,19,Diamond 2,,PRM Lotus,,0
307,-42,FierceSmiley#0480,19,Diamond 2,,,I-Lantern-I,0
308,119,2K07#6163,19,Diamond 2,GFP • 2K07,,,0
309,-25,hocheshh#1899,19,Diamond 2,hocheshhᵗᵗᵛ,,,0
310,-52,ElectricMoney#1714,19,Diamond 2,Darkin,,,0
311,-24,QuirkyCake#1270,19,Diamond 2,,,iinpha,0
312,46,StealthySense#4403,19,Diamond 2,AIr,,,0
313,132,FlyingTrooper#2138,19,Diamond 2,ThuNdeR0205,,,0
314,338,HastyExec#7239,19,Diamond 2,The name,,,0
315,-139,Jayron434_ttv#0070,19,Diamond 2,,,jayron434,0
316,-64,SkeletalShell#2782,19,Diamond 2,,Dezzy#1039,,0
317,-23,WingedChannel#5779,19,Diamond 2,Twitch.tv/caNNoTTV,,,0
318,-52,airshu#5053,19,Diamond 2,any0ne,,,0
319,134,TacticalFace#6017,19,Diamond 2,6kaban,,,0
320,-90,Grimlock#8773,19,Diamond 2,Grimlock,,,0
321,22,chima1r#4699,19,Diamond 2,chima1r,,,0
322,42,PlayfulKatana#1381,19,Diamond 2,,CoverdInRice,,0
323,-76,ifavo#2872,19,Diamond 2,ifavo,,iFavos,0
