Rank,Change,Name,League Number,League,Steam Name,Xbox Name,PSN Name,Cashouts
224,8,Wubzyss#7826,19,Diamond 2,,,wubzyss,0
225,-11,CurseD#1153,19,Diamond 2,,,LSQ_Newaz,0
226,197,FastVictor#0106,19,Diamond 2,1Orange,,,0
227,61,DaringChannel#0947,19,Diamond 2,灰太狼King,,,0
228,-39,maenik#0067,19,Diamond 2,i love hobby horsing,,,0
229,-14,harvan#0386,19,Diamond 2,Harvandor,,,0
230,45,FundedPerson#2247,19,Diamond 2,,KingJxmba,,0
231,90,d3noxy#5503,19,Diamond 2,d3noxy,,suprunon325,0
232,70,Estebann#3026,19,Diamond 2,,Estebann#2443,,0
233,67,FranzBoooooooott#3713,19,Diamond 2,FranzBoooooooott,,,0
234,-14,Spoons#0391,19,Diamond 2,the2spoons,,,0
235,-48,Mini#0199,19,Diamond 2,,,Mini_Miudo,0
236,-15,GloriousSlam#3800,19,Diamond 2,Israel's massacre of Palestine,,,0
237,22,Sniff#7153,19,Diamond 2,,TK Sniffer,,0
238,-16,Abba#1236,19,Diamond 2,,Abba v7,,0
239,-15,LukyNumb3r777#7662,19,Diamond 2,Salvo,,,0
240,-15,MERCY_Garou#7821,19,Diamond 2,MERCY_Garou,,,0
241,24,chima1r#4699,19,Diamond 2,chima1r,,,0
242,-13,cikp_on_twitch#5394,19,Diamond 2,cikp,,LuRe_PoweR-,0
243,-7,StellarCatwalk#1104,19,Diamond 2,,JuoIt,,0
244,28,whitenoize#3818,19,Diamond 2,whitenoize,,Irissa,0
245,-15,DawanaLaCulona#8836,19,Diamond 2,zDawan,,,0
246,5,yourself#4732,19,Diamond 2,yourself,,,0
247,138,lascur#5128,19,Diamond 2,lascur,,,0
248,-79,FlyingWeb#1053,19,Diamond 2,Yuシ,,,0
249,4,ethereal#8389,19,Diamond 2,,enlest,Sinmade,0
250,-11,observe#3831,19,Diamond 2,observe,,zxncv-,0
251,99,Joffery#3276,19,Diamond 2,Joffery,,JofferyTV,0
252,-12,NightExec#5773,19,Diamond 2,bilibili苏打不带水,,sodawater_0411,0
253,85,FierceSmiley#0480,19,Diamond 2,,,I-Lantern-I,0
254,188,SnappyRock#4182,19,Diamond 2,TTV & YT Shhmoneygaming,,KayShhmoneyy,0
255,-13,gg#0271,19,Diamond 2,Mahmud Sulayman al-Maghribi,,,0
256,300,eboyleo#5514,19,Diamond 2,eboyleoᵀᵀⱽ,,,0
257,-14,GleamingTiger#9144,19,Diamond 2,Meowfum,,,0
258,-14,StellarGlobe#3049,19,Diamond 2,蛋堡,,,0
259,-31,U209Rudy_tv#2719,19,Diamond 2,Holy energie so good,,,0
260,136,Prodigy#3087,19,Diamond 2,,bng prod,,0
261,132,Tr3y#3446,19,Diamond 2,,,Tr3y-LM,0
262,91,Pachamama#6710,19,Diamond 2,Gozah,,,0
263,-29,oo#3197,19,Diamond 2,悲伤的高中生,,,0
264,-12,HastyFace#2564,19,Diamond 2,kakibeans,,,0
265,-32,Reaver#4383,19,Diamond 2,Reaver,,,0
266,-35,PlayfulSword#0498,19,Diamond 2,,,CYL_Kayzen,0
267,34,UNI#5767,19,Diamond 2,UNI,,,0
268,-73,Superroller#9321,19,Diamond 2,Superroller,,,0
269,-21,sAke#8731,19,Diamond 2,v1sAke,,,0
270,-21,ifavo#2872,19,Diamond 2,ifavo,,iFavos,0
271,-99,StreetRock#5424,19,Diamond 2,抖音都是臭狗屎,,,0
272,-98,Nerf-RPG-Plz#6819,19,Diamond 2,,Sustanence,Sustanencee,0
273,-23,nam#3444,19,Diamond 2,NNN,,,0
274,88,Rodeo#6832,19,Diamond 2,petya007,,lJaMoInSeNl,0
275,-9,EkaZo#1602,19,Diamond 2,EkaZo,,,0
276,-189,SuddenGeomorph#0889,19,Diamond 2,Dikin iijkj,,,0
277,-23,Suppress#0173,19,Diamond 2,LOVELYLION,,,0
278,44,TTV-Leprxzy#0606,19,Diamond 2,,Leprxzy,,0
279,-24,chund#5502,19,Diamond 2,,,ChundGun_,0
280,-24,RandomSnake#6341,19,Diamond 2,고등어순살조림,,,0
281,-128,MobSterGG#6278,19,Diamond 2,Who Am I?,,,0
